"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",1375,39,848.56,13,"active","non-churn"
"no complaint",1628,42,129.25,70,"active","non-churn"
"no complaint",760,28,91.52,9,"active","non-churn"
"no complaint",885,13,87.45,5,"active","non-churn"
"no complaint",1285,35,167.4,15,"active","non-churn"
"no complaint",3285,64,185.96,25,"active","non-churn"
"no complaint",1755,29,228.78,16,"active","non-churn"
"no complaint",6453,144,701.865,44,"active","non-churn"
"no complaint",8993,174,254.505,42,"active","non-churn"
"no complaint",2913,48,262.44,21,"active","non-churn"
"no complaint",4450,43,1059.72,12,"active","non-churn"
"complaint",1548,22,82.8,9,"active","churn"
"no complaint",4310,68,197.01,15,"active","non-churn"
"no complaint",258,2,20.7,2,"non-active","non-churn"
"no complaint",2393,57,1703.25,22,"active","non-churn"
"no complaint",4138,63,231.055,33,"active","non-churn"
"no complaint",2333,55,131.34,31,"active","non-churn"
"no complaint",3715,79,259.76,26,"active","non-churn"
"no complaint",2300,36,1213.44,16,"active","non-churn"
"no complaint",9055,118,922.92,41,"active","non-churn"
"no complaint",13713,166,555.16,42,"active","non-churn"
"no complaint",4455,80,181.4,23,"active","non-churn"
"no complaint",5858,92,276.75,10,"active","non-churn"
"complaint",2178,51,101.16,15,"non-active","non-churn"
"no complaint",15080,222,808.08,30,"active","non-churn"
"no complaint",3035,24,2034.36,6,"active","non-churn"
"no complaint",15425,179,1354.68,28,"active","non-churn"
"no complaint",6440,83,984.92,24,"active","non-churn"
"no complaint",815,11,37.17,9,"non-active","non-churn"
"no complaint",650,11,65.745,6,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7448,124,2046.24,41,"active","non-churn"
"no complaint",11405,151,486.24,45,"active","non-churn"
"no complaint",6658,72,766.35,35,"active","non-churn"
"no complaint",895,44,91.755,15,"non-active","churn"
"no complaint",10375,90,261.625,40,"active","non-churn"
"no complaint",5758,95,357.885,22,"active","churn"
"no complaint",2780,19,111.96,12,"active","non-churn"
"no complaint",2930,38,151.56,14,"non-active","churn"
"complaint",2208,41,205.96,29,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1608,22,65.2,4,"active","non-churn"
"no complaint",6725,94,192.975,20,"active","non-churn"
"no complaint",568,4,24.3,2,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",16015,235,731.25,78,"active","non-churn"
"no complaint",6905,113,1512.81,31,"active","non-churn"
"no complaint",3658,79,168.165,26,"active","non-churn"
"no complaint",1605,41,197.84,18,"non-active","non-churn"
"no complaint",2720,50,889.65,21,"active","non-churn"
"no complaint",1255,33,903.96,9,"active","non-churn"
"no complaint",1508,36,101.1,66,"active","non-churn"
"no complaint",640,22,52.29,5,"non-active","non-churn"
"complaint",765,7,59.3,1,"non-active","churn"
"no complaint",1165,29,116.73,11,"active","non-churn"
"no complaint",3165,58,140.92,21,"active","non-churn"
"no complaint",1635,23,178.11,12,"active","non-churn"
"no complaint",6333,138,795.905,40,"active","non-churn"
"no complaint",8873,168,396.025,38,"active","non-churn"
"no complaint",2793,42,217.4,17,"active","non-churn"
"no complaint",4330,37,1014.68,8,"active","non-churn"
"no complaint",1428,16,57.76,5,"active","churn"
"no complaint",4450,73,240.92,21,"active","non-churn"
"complaint",398,7,84.2,8,"non-active","churn"
"no complaint",2533,62,1579.8,28,"active","non-churn"
"no complaint",4278,68,299.53,39,"active","non-churn"
"no complaint",2473,60,167.985,37,"active","non-churn"
"no complaint",3855,84,325.56,32,"active","non-churn"
"no complaint",2440,41,1279.24,22,"active","non-churn"
"no complaint",9195,123,988.72,47,"active","non-churn"
"no complaint",13853,171,600.96,48,"active","non-churn"
"no complaint",4595,85,235.2,29,"active","non-churn"
"no complaint",5998,97,311.8,16,"active","non-churn"
"no complaint",2318,56,166.96,21,"non-active","non-churn"
"no complaint",15220,227,873.88,36,"active","non-churn"
"no complaint",3175,29,2100.16,12,"active","non-churn"
"no complaint",15565,184,1428.705,34,"active","non-churn"
"no complaint",6580,88,1050.72,30,"active","non-churn"
"no complaint",955,16,88.695,15,"non-active","non-churn"
"no complaint",790,16,124.24,12,"non-active","non-churn"
"no complaint",80,2,48.69,4,"non-active","churn"
"no complaint",7588,129,1884.68,47,"active","non-churn"
"no complaint",11545,156,345.025,51,"active","non-churn"
"no complaint",6798,77,840.375,41,"active","non-churn"
"complaint",1035,49,147.36,21,"non-active","churn"
"complaint",10515,95,175.65,46,"active","non-churn"
"no complaint",5898,100,431.91,28,"active","churn"
"no complaint",2920,24,157.76,18,"active","non-churn"
"no complaint",3070,43,200.52,20,"non-active","churn"
"complaint",2348,46,271.76,35,"non-active","churn"
"no complaint",213,4,48.68,6,"non-active","churn"
"no complaint",1748,27,69.375,10,"active","non-churn"
"no complaint",6865,99,140.46,26,"active","non-churn"
"complaint",708,9,65.425,8,"non-active","churn"
"no complaint",418,6,27.36,6,"active","non-churn"
"no complaint",16155,240,782.775,84,"active","non-churn"
"complaint",7045,118,1586.835,37,"active","non-churn"
"no complaint",3798,84,203.28,32,"active","non-churn"
"no complaint",1745,46,263.64,24,"non-active","non-churn"
"no complaint",2860,55,963.675,27,"active","non-churn"
"no complaint",1395,38,977.985,15,"active","non-churn"
"no complaint",1648,41,142.225,72,"active","non-churn"
"no complaint",780,27,112.28,11,"non-active","non-churn"
"no complaint",905,12,100.425,7,"non-active","non-churn"
"no complaint",1305,34,190.755,17,"active","non-churn"
"no complaint",3305,63,206.72,27,"active","non-churn"
"no complaint",1775,28,252.135,18,"active","non-churn"
"no complaint",6473,143,725.22,46,"active","non-churn"
"no complaint",9013,173,262.29,44,"active","non-churn"
"no complaint",2933,47,283.2,23,"active","non-churn"
"no complaint",4470,42,1080.48,14,"active","non-churn"
"no complaint",1568,21,103.56,11,"active","churn"
"no complaint",4290,69,196.155,13,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2373,58,1679.895,20,"active","non-churn"
"no complaint",4118,64,230.01,31,"active","non-churn"
"no complaint",2313,56,130.295,29,"active","non-churn"
"no complaint",3695,80,239,24,"active","non-churn"
"no complaint",2280,37,1192.68,14,"active","non-churn"
"no complaint",9035,119,902.16,39,"active","non-churn"
"no complaint",13693,167,554.4,40,"active","non-churn"
"no complaint",4435,81,180.64,21,"active","non-churn"
"no complaint",5838,93,266.895,8,"active","non-churn"
"no complaint",2158,52,88.4,13,"non-active","non-churn"
"no complaint",15060,223,787.32,28,"active","non-churn"
"no complaint",3015,25,2013.6,4,"active","non-churn"
"no complaint",15405,180,1331.325,26,"active","non-churn"
"no complaint",6420,84,964.16,22,"active","non-churn"
"no complaint",795,12,36.315,7,"non-active","non-churn"
"no complaint",630,12,42.39,4,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7428,125,2022.885,39,"active","non-churn"
"no complaint",11385,152,465.48,43,"active","non-churn"
"no complaint",6638,73,742.995,33,"active","non-churn"
"no complaint",875,45,68.4,13,"non-active","churn"
"no complaint",10355,91,261.15,38,"active","non-churn"
"complaint",5738,96,334.53,20,"active","churn"
"no complaint",2760,20,111.2,10,"active","non-churn"
"complaint",2910,39,117.96,12,"non-active","churn"
"no complaint",2188,42,185.2,27,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1588,23,64.44,2,"active","non-churn"
"no complaint",6705,95,180,18,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15995,236,730.395,76,"active","non-churn"
"no complaint",6885,114,1489.455,29,"active","non-churn"
"no complaint",3638,80,167.31,24,"active","non-churn"
"no complaint",1585,42,177.08,16,"non-active","non-churn"
"no complaint",2700,51,866.295,19,"active","non-churn"
"no complaint",1235,34,880.605,7,"active","non-churn"
"no complaint",1488,37,88.125,64,"active","non-churn"
"no complaint",620,23,28.935,3,"non-active","non-churn"
"no complaint",0,0,27.5,0,"non-active","non-churn"
"no complaint",1145,30,93.375,9,"active","non-churn"
"no complaint",3145,59,128.16,19,"active","non-churn"
"no complaint",1615,24,154.755,10,"active","non-churn"
"no complaint",6313,139,767.36,38,"active","non-churn"
"no complaint",8853,169,383.05,36,"active","non-churn"
"no complaint",2773,43,196.64,15,"active","non-churn"
"no complaint",4310,38,993.92,6,"active","non-churn"
"no complaint",1408,17,57,3,"active","churn"
"no complaint",4630,81,268.44,23,"active","non-churn"
"no complaint",578,15,111.72,10,"non-active","non-churn"
"no complaint",2713,70,1607.32,30,"active","non-churn"
"no complaint",4458,76,337.37,41,"active","non-churn"
"no complaint",2653,68,198.945,39,"active","non-churn"
"no complaint",4035,92,353.08,34,"active","non-churn"
"no complaint",2620,49,1306.76,24,"active","non-churn"
"no complaint",9375,131,1016.24,49,"active","non-churn"
"no complaint",14033,179,628.48,50,"active","non-churn"
"no complaint",4775,93,262.72,31,"active","non-churn"
"no complaint",6178,105,339.32,18,"active","non-churn"
"complaint",2498,64,194.48,23,"non-active","non-churn"
"no complaint",15400,235,901.4,38,"active","non-churn"
"no complaint",3355,37,2127.68,14,"active","non-churn"
"no complaint",15745,192,1459.665,36,"active","non-churn"
"no complaint",6760,96,1078.24,32,"active","non-churn"
"no complaint",1135,24,119.655,17,"non-active","non-churn"
"no complaint",970,24,151.76,14,"non-active","non-churn"
"no complaint",260,10,79.65,6,"non-active","churn"
"no complaint",7768,137,1912.2,49,"active","non-churn"
"no complaint",11725,164,362.225,53,"active","non-churn"
"no complaint",6978,85,871.335,43,"active","non-churn"
"complaint",1215,57,174.88,23,"non-active","churn"
"no complaint",10695,103,185.97,48,"active","non-churn"
"no complaint",6078,108,462.87,30,"active","non-churn"
"no complaint",3100,32,185.28,20,"active","non-churn"
"complaint",3250,51,228.04,22,"non-active","churn"
"complaint",2528,54,187.05,37,"non-active","churn"
"no complaint",393,12,76.2,8,"non-active","churn"
"no complaint",1928,35,86.575,12,"active","non-churn"
"no complaint",7045,107,150.78,28,"active","non-churn"
"no complaint",888,17,82.625,10,"non-active","churn"
"no complaint",598,14,37.68,8,"active","non-churn"
"complaint",16335,248,813.735,86,"active","non-churn"
"complaint",7225,126,1438.04,39,"active","non-churn"
"no complaint",3978,92,230.8,34,"active","non-churn"
"no complaint",1925,54,291.16,26,"non-active","non-churn"
"no complaint",3040,63,994.635,29,"active","non-churn"
"no complaint",1575,46,896.84,17,"active","non-churn"
"no complaint",1828,49,95.655,74,"active","non-churn"
"no complaint",960,35,139.8,13,"non-active","non-churn"
"no complaint",1085,20,117.625,9,"non-active","non-churn"
"no complaint",1485,42,221.715,19,"active","non-churn"
"no complaint",3485,71,234.24,29,"active","non-churn"
"no complaint",1955,36,251.64,20,"active","non-churn"
"no complaint",6653,151,756.18,48,"active","non-churn"
"no complaint",9193,181,272.61,46,"active","non-churn"
"no complaint",3113,55,310.72,25,"active","non-churn"
"no complaint",4650,50,1108,16,"active","non-churn"
"complaint",1748,29,131.08,13,"active","churn"
"no complaint",4110,61,187.695,11,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2193,50,1648.935,18,"active","non-churn"
"no complaint",3938,56,219.67,29,"active","non-churn"
"no complaint",2133,48,119.955,27,"active","non-churn"
"no complaint",3515,72,237.915,22,"active","non-churn"
"no complaint",2100,29,1165.16,12,"active","non-churn"
"no complaint",8855,111,874.64,37,"active","non-churn"
"no complaint",13513,159,546.88,38,"active","non-churn"
"no complaint",4255,73,173.12,19,"active","non-churn"
"no complaint",5658,85,258.435,6,"active","non-churn"
"no complaint",1978,44,80.88,11,"non-active","non-churn"
"no complaint",14880,215,759.8,26,"active","non-churn"
"no complaint",2835,17,1986.08,2,"active","non-churn"
"no complaint",15225,172,1300.365,24,"active","non-churn"
"no complaint",6240,76,936.64,20,"active","non-churn"
"no complaint",615,4,27.855,5,"non-active","non-churn"
"no complaint",450,4,20.43,2,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7248,117,1991.925,37,"active","non-churn"
"no complaint",11205,144,453.96,41,"active","non-churn"
"no complaint",6458,65,712.035,31,"active","non-churn"
"complaint",695,37,37.44,11,"non-active","churn"
"no complaint",10175,83,256.45,36,"active","non-churn"
"complaint",5558,88,303.57,18,"active","churn"
"no complaint",2580,12,103.68,8,"active","non-churn"
"no complaint",2730,31,124.245,10,"non-active","churn"
"complaint",2008,34,157.68,25,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",6525,87,165.3,16,"active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"complaint",0,0,0,0,"active","churn"
"no complaint",15815,228,721.935,74,"active","non-churn"
"no complaint",6705,106,1458.495,27,"active","non-churn"
"no complaint",3458,72,158.85,22,"active","non-churn"
"no complaint",1405,34,149.56,14,"non-active","non-churn"
"no complaint",2520,43,835.335,17,"active","non-churn"
"no complaint",1055,26,849.645,5,"active","non-churn"
"no complaint",1308,29,70.925,62,"active","non-churn"
"no complaint",440,15,20.475,1,"non-active","non-churn"
"no complaint",0,0,15,0,"non-active","non-churn"
"no complaint",965,22,62.415,7,"active","non-churn"
"no complaint",2965,51,120.64,17,"active","non-churn"
"no complaint",1435,16,123.795,8,"active","non-churn"
"no complaint",6133,131,729.52,36,"active","non-churn"
"no complaint",8673,161,365.85,34,"active","non-churn"
"no complaint",2593,35,169.12,13,"active","non-churn"
"no complaint",4130,30,966.4,4,"active","non-churn"
"complaint",1228,9,55.665,1,"active","churn"
"no complaint",4550,79,249.16,22,"active","non-churn"
"no complaint",498,13,103.995,9,"non-active","non-churn"
"no complaint",2633,68,1588.04,29,"active","non-churn"
"no complaint",4378,74,310.86,40,"active","non-churn"
"no complaint",2573,66,216.645,38,"active","non-churn"
"no complaint",3955,90,333.8,33,"active","non-churn"
"no complaint",2540,47,1287.48,23,"active","non-churn"
"no complaint",9295,129,996.96,48,"active","non-churn"
"no complaint",13953,177,609.2,49,"active","non-churn"
"no complaint",4695,91,243.44,30,"active","non-churn"
"no complaint",6098,103,320.04,17,"active","non-churn"
"no complaint",2418,62,175.2,22,"non-active","non-churn"
"no complaint",15320,233,882.12,37,"active","non-churn"
"no complaint",3275,35,2108.4,13,"active","non-churn"
"no complaint",15665,190,1437.975,35,"active","non-churn"
"no complaint",6680,94,1058.96,31,"active","non-churn"
"no complaint",1055,22,97.965,16,"non-active","non-churn"
"no complaint",890,22,132.48,13,"non-active","non-churn"
"no complaint",180,8,57.96,5,"non-active","churn"
"no complaint",7688,135,2129.535,48,"active","non-churn"
"no complaint",11645,162,350.175,52,"active","non-churn"
"no complaint",6898,83,849.645,42,"active","non-churn"
"complaint",1135,55,175.05,22,"non-active","churn"
"no complaint",10615,101,178.74,47,"active","non-churn"
"no complaint",5998,106,441.18,29,"active","non-churn"
"no complaint",3020,30,166,19,"active","non-churn"
"complaint",3170,49,208.76,21,"non-active","churn"
"complaint",2448,52,280,36,"non-active","churn"
"complaint",313,10,56.92,7,"non-active","churn"
"no complaint",1848,33,119.24,11,"active","non-churn"
"no complaint",6965,105,143.55,27,"active","non-churn"
"no complaint",808,15,70.575,9,"non-active","churn"
"no complaint",518,12,30.45,7,"active","non-churn"
"complaint",16255,246,792.045,85,"active","non-churn"
"no complaint",7145,124,1596.105,38,"active","non-churn"
"no complaint",3898,90,237.96,33,"active","non-churn"
"no complaint",1845,52,271.88,25,"non-active","non-churn"
"no complaint",2960,61,972.945,28,"active","non-churn"
"complaint",1495,44,987.255,16,"active","churn"
"no complaint",1748,47,147.375,73,"active","non-churn"
"no complaint",880,33,135.585,12,"non-active","non-churn"
"no complaint",1005,18,105.575,8,"non-active","non-churn"
"no complaint",1405,40,200.025,18,"active","non-churn"
"no complaint",3405,69,214.96,28,"active","non-churn"
"no complaint",1875,34,261.405,19,"active","non-churn"
"no complaint",6573,149,734.49,47,"active","non-churn"
"no complaint",9113,179,442.3,45,"active","non-churn"
"no complaint",3033,53,291.44,24,"active","non-churn"
"no complaint",4570,48,1088.72,15,"active","non-churn"
"no complaint",1668,27,111.8,12,"active","churn"
"no complaint",4190,63,170.12,12,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2273,52,1485,19,"active","non-churn"
"no complaint",4018,58,224.18,30,"active","non-churn"
"no complaint",2213,50,124.465,28,"active","non-churn"
"no complaint",3595,74,230.76,23,"active","non-churn"
"no complaint",2180,31,1184.44,13,"active","non-churn"
"no complaint",8935,113,893.92,38,"active","non-churn"
"no complaint",13593,161,550.16,39,"active","non-churn"
"no complaint",4335,75,176.4,20,"active","non-churn"
"no complaint",5738,87,233,7,"active","non-churn"
"no complaint",2058,46,84.16,12,"non-active","non-churn"
"no complaint",14960,217,779.08,27,"active","non-churn"
"no complaint",2915,19,2005.36,3,"active","non-churn"
"no complaint",15305,174,1322.055,25,"active","non-churn"
"no complaint",6320,78,955.92,21,"active","non-churn"
"no complaint",695,6,31.545,6,"non-active","non-churn"
"no complaint",530,6,29.44,3,"non-active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",7328,119,2013.615,38,"active","non-churn"
"no complaint",11285,146,285.775,42,"active","non-churn"
"no complaint",6538,67,733.725,32,"active","non-churn"
"complaint",775,39,59.13,12,"non-active","churn"
"no complaint",10255,85,155.1,37,"active","non-churn"
"complaint",5638,90,325.26,19,"active","churn"
"no complaint",2660,14,106.96,9,"active","non-churn"
"no complaint",2810,33,113.72,11,"non-active","churn"
"complaint",2088,36,176.96,26,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1488,17,60.2,1,"active","non-churn"
"no complaint",6605,89,104.91,17,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15895,230,725.625,75,"active","non-churn"
"no complaint",6785,108,1480.185,28,"active","non-churn"
"no complaint",3538,74,162.54,23,"active","non-churn"
"no complaint",1485,36,168.84,15,"non-active","non-churn"
"no complaint",2600,45,857.025,18,"active","non-churn"
"no complaint",1135,28,871.335,6,"active","non-churn"
"no complaint",1388,31,82.975,63,"active","non-churn"
"no complaint",520,17,24.165,2,"non-active","non-churn"
"no complaint",0,0,25,0,"non-active","non-churn"
"no complaint",1045,24,84.105,8,"active","non-churn"
"no complaint",3045,53,123.92,18,"active","non-churn"
"no complaint",1515,18,145.485,9,"active","non-churn"
"no complaint",6213,133,618.57,37,"active","non-churn"
"no complaint",8753,163,377.9,35,"active","non-churn"
"no complaint",2673,37,188.4,14,"active","non-churn"
"no complaint",4210,32,985.68,5,"active","non-churn"
"no complaint",1308,11,52.76,2,"active","churn"
"no complaint",4970,81,306.04,32,"active","non-churn"
"no complaint",918,15,149.32,19,"non-active","non-churn"
"no complaint",3053,70,1644.92,39,"active","non-churn"
"no complaint",4798,76,389.07,50,"active","non-churn"
"no complaint",2993,68,241.245,48,"active","non-churn"
"no complaint",4375,92,390.68,43,"active","non-churn"
"no complaint",2960,49,1344.36,33,"active","non-churn"
"no complaint",9715,131,1053.84,58,"active","non-churn"
"no complaint",14373,179,666.08,59,"active","non-churn"
"no complaint",5115,93,300.32,40,"active","non-churn"
"no complaint",6518,105,376.92,27,"active","non-churn"
"no complaint",2838,64,232.08,32,"non-active","non-churn"
"no complaint",15740,235,939,47,"active","non-churn"
"no complaint",3695,37,2165.28,23,"active","non-churn"
"no complaint",16085,192,1501.965,45,"active","non-churn"
"no complaint",7100,96,1115.84,41,"active","non-churn"
"no complaint",1475,24,161.955,26,"non-active","non-churn"
"no complaint",1310,24,189.36,23,"non-active","non-churn"
"no complaint",600,10,121.95,15,"non-active","churn"
"no complaint",8108,137,1949.8,58,"active","non-churn"
"no complaint",12065,164,385.725,62,"active","non-churn"
"no complaint",7318,85,913.635,52,"active","non-churn"
"complaint",1555,57,212.48,32,"non-active","churn"
"no complaint",11035,103,200.07,57,"active","non-churn"
"no complaint",6418,108,505.17,39,"active","non-churn"
"no complaint",3440,32,222.88,29,"active","non-churn"
"complaint",3590,51,265.64,31,"non-active","churn"
"complaint",2868,54,336.88,46,"non-active","churn"
"no complaint",733,12,113.8,17,"non-active","churn"
"no complaint",2268,35,110.075,21,"active","non-churn"
"no complaint",7385,107,164.88,37,"active","non-churn"
"no complaint",1228,17,106.125,19,"non-active","churn"
"no complaint",938,14,51.78,17,"active","non-churn"
"no complaint",16675,248,856.035,95,"active","non-churn"
"no complaint",7565,126,1660.095,48,"active","non-churn"
"no complaint",4318,92,268.4,43,"active","non-churn"
"complaint",2265,54,328.76,35,"non-active","churn"
"no complaint",3380,63,1036.935,38,"active","non-churn"
"no complaint",1915,46,1051.245,26,"active","non-churn"
"no complaint",2168,49,182.925,83,"active","non-churn"
"no complaint",1300,35,177.4,22,"non-active","non-churn"
"no complaint",1425,20,141.125,18,"non-active","non-churn"
"no complaint",1825,42,264.015,28,"active","non-churn"
"no complaint",3825,71,271.84,38,"active","non-churn"
"no complaint",2295,36,325.395,29,"active","non-churn"
"no complaint",6993,151,798.48,57,"active","non-churn"
"no complaint",9533,181,286.71,55,"active","non-churn"
"no complaint",3453,55,348.32,34,"active","non-churn"
"no complaint",4990,50,1145.6,25,"active","non-churn"
"complaint",2088,29,168.68,22,"active","churn"
"no complaint",3770,61,172.395,2,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1853,50,1606.635,9,"active","non-churn"
"no complaint",3598,56,200.97,20,"active","non-churn"
"no complaint",1793,48,101.255,18,"active","non-churn"
"no complaint",3175,72,173.88,13,"active","non-churn"
"no complaint",1760,29,1127.56,3,"active","non-churn"
"no complaint",8515,111,837.04,28,"active","non-churn"
"no complaint",13173,159,533.28,29,"active","non-churn"
"no complaint",3915,73,159.52,10,"active","non-churn"
"no complaint",5318,85,243.135,15,"active","non-churn"
"no complaint",1638,44,67.28,2,"non-active","non-churn"
"no complaint",14540,215,722.2,17,"active","non-churn"
"no complaint",2495,17,1948.48,7,"active","non-churn"
"no complaint",14885,172,1258.065,15,"active","non-churn"
"no complaint",5900,76,899.04,11,"active","non-churn"
"no complaint",275,4,12.555,1,"non-active","non-churn"
"no complaint",110,4,5.13,1,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",6908,117,1949.625,28,"active","non-churn"
"no complaint",10865,144,440.36,32,"active","non-churn"
"no complaint",6118,65,669.735,22,"active","non-churn"
"no complaint",355,37,17.64,2,"non-active","churn"
"no complaint",9835,83,247.95,27,"active","non-churn"
"complaint",5218,88,261.27,9,"active","churn"
"no complaint",2240,12,90.08,4,"active","non-churn"
"no complaint",2390,31,96.84,1,"non-active","churn"
"no complaint",1668,34,120.08,16,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1068,15,43.32,3,"active","non-churn"
"no complaint",6185,87,156.8,7,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15475,228,706.635,65,"active","non-churn"
"no complaint",6365,106,1416.195,18,"active","non-churn"
"no complaint",3118,72,143.55,13,"active","non-churn"
"no complaint",1065,34,111.96,5,"non-active","non-churn"
