"alcohol","density","free.sulfur.dioxide","residual.sugar","volatile.acidity","total.sulfur.dioxide","quality"
9.5,0.9966,42,8.2,0.22,207,1
8.7,0.9974,54,11.8,0.43,155,0
8.7,0.9975,52,11.8,0.44,152,1
8.7,0.9974,55,11,0.39,156,1
9.7,0.9972,69,13.3,0.25,202,1
8.7,0.9974,54,11.8,0.43,155,0
8.7,0.9975,52,11.8,0.44,152,1
8.7,0.9974,55,11,0.39,156,1
9,0.9957,65,7.5,0.27,243,0
12.6,0.99,47,1.7,0.24,136,1
12.6,0.9899,48,1.8,0.21,136,1
11.5,0.9916,51,1.7,0.17,148,1
9.2,0.9969,62,12.4,0.26,240,1
8.8,0.9979,26,15.9,0.34,164,1
11.4,0.9913,15,1.2,0.265,80,1
10.1,0.9956,4,10.5,0.36,83,0
8.8,0.9979,26,15.9,0.34,164,1
9.1,0.9975,52,13.5,0.25,192,0
9.4,0.9962,64,9.6,0.12,162,0
9.4,0.997,55,12.1,0.21,164,0
9,1,44,18.9,0.305,170,0
9.1,0.9975,52,13.5,0.25,192,0
9.2,0.9974,34,14.4,0.13,109,1
9.4,0.9962,64,9.6,0.12,162,0
9.1,0.999,60,16.5,0.23,171,1
9.1,0.999,60,16.5,0.23,171,1
10.3,0.9927,37,1.3,0.33,187,0
8.8,0.9959,64,8.5,0.17,163,1
8.9,1,45,18.75,0.27,255,0
9.2,0.9982,68,13.3,0.31,195,0
9.1,0.9968,29,9.2,0.41,150,0
9.1,0.9968,29,9.2,0.41,150,0
9.7,0.994,8,1.5,0.485,103,0
11.3,0.9914,25,3.3,0.31,143,1
11.8,0.9911,16,1.7,0.14,85,1
9.2,0.9982,68,13.3,0.31,195,0
9.2,0.9982,57,13.3,0.32,196,0
10.2,0.9934,21,5.7,0.36,87,0
8.8,0.9984,42,12.2,0.24,138,0
9.7,0.9952,31,6.85,0.16,131,0
9.1,0.9952,14,5,0.19,146,1
9.8,0.9928,40,1.6,0.13,158,1
11,0.9912,63,1.1,0.19,143,1
10.5,0.994,29,7,0.39,126,0
9.7,0.9958,48,7.6,0.24,203,1
10.9,0.9924,47,2.8,0.3,179,1
10.9,0.9924,46,2.7,0.3,184,1
10.6,0.994,7,10.4,0.26,57,0
9.7,0.9958,48,7.6,0.24,203,1
9,0.9979,59,13.1,0.425,241,0
9.2,0.9982,46,15.8,0.24,188,0
8.9,0.9961,55,8.1,0.27,203,0
9.6,0.9979,44,15.7,0.27,179,0
10.7,0.992,36,1.2,0.23,121,1
8.7,0.9975,49,10.5,0.37,155,0
10.8,0.9917,30,1.9,0.19,96,1
11.8,0.9923,18,1.9,0.28,79,1
10.2,0.9927,20,2.2,0.31,77,0
8.7,0.9975,49,10.5,0.37,155,0
10.8,0.992,38,1.2,0.21,107,1
9.7,0.9947,24,4.3,0.21,99,1
11.2,0.9921,19,2,0.2,87,1
10.9,0.9905,37,1.1,0.255,114,1
10.1,0.9918,53,1.4,0.16,168,1
9,0.9951,15,5.2,0.595,97,0
12,0.9917,19,4.6,0.34,80,1
9.4,0.994,23,4.1,0.25,116,1
11.5,0.9934,46,8,0.22,152,1
9.9,0.9968,58,10.2,0.18,135,1
9.4,0.994,23,4.1,0.25,116,1
10.4,0.9919,41,1.2,0.18,97,0
9.7,0.9966,12,7.5,0.23,76,1
8.9,0.9979,48,14,0.24,198,1
8.9,0.9979,48,14,0.24,198,1
12.4,0.9898,38,1.5,0.32,124,1
12.1,0.9894,43,1.4,0.44,119,1
12.1,0.9894,43,1.4,0.44,119,1
12.4,0.9898,38,1.5,0.32,124,1
9.1,0.998,27,14.5,0.22,159,0
10.6,0.9932,14,4.8,0.36,85,0
8.9,0.9979,48,14,0.24,198,1
9.5,0.997,64,13.1,0.24,205,0
9.8,0.9972,72,13,0.23,177,0
9.6,0.9974,39,8.7,0.27,197,1
12.6,0.9896,25,2.4,0.46,98,1
9.3,0.9968,20,8.95,0.29,151,0
10,0.9958,5,9.85,0.42,110,0
12.7,0.9906,29,1.5,0.3,133,1
11,0.9917,17,1.5,0.19,96,1
11.4,0.9902,4,0.8,0.48,100,0
11.5,0.9918,31,4.55,0.22,130,1
10.2,0.999,33,17.7,0.27,173,0
11.4,0.9927,50,7.5,0.23,151,1
12.6,0.991,19,5.1,0.32,65,0
9.4,0.9972,57,12.9,0.23,170,0
8.7,0.9931,9,1.2,0.67,108,0
9.2,0.995,41,5.5,0.25,176,1
9.3,0.9951,42,5.5,0.33,173,1
9.2,0.9936,61,1.2,0.34,183,0
8.7,1.001,48,22,0.28,167,0
9.6,0.9979,64,14,0.27,227,1
9.3,0.997,64,11.9,0.26,226,0
9.3,0.9972,66,11.9,0.29,230,0
9.9,0.9954,49,9.4,0.24,166,1
11,0.9924,42,4.2,0.3,119,0
12.7,0.9906,26,3.8,0.53,109,1
8.9,0.9962,54,8.5,0.28,210,0
8.9,0.9962,55,8.5,0.28,211,1
8.7,1.001,48,22,0.28,167,0
11.4,0.9928,28,8,0.28,123,1
9.6,0.9942,34,5.1,0.15,125,0
9.1,0.9942,75,3.6,0.29,181,0
9.1,0.9942,76,3.5,0.3,180,1
9.1,0.9942,75,3.6,0.29,183,0
8.9,0.9961,54,7.8,0.26,214,0
8.8,0.998,52,13.1,0.32,204,0
8.9,0.9961,54,7.8,0.26,214,0
9.3,0.9984,55,16.1,0.27,196,0
8.8,0.998,52,13.1,0.32,204,0
9.6,0.9973,53,13.2,0.54,236,0
12,0.9949,39,13.9,0.26,134,1
10.2,0.9924,36,2.3,0.28,114,0
8.8,0.9972,45,11.6,0.21,153,0
9.2,0.9958,38,8.3,0.16,126,0
9.9,0.9968,20,6.2,0.44,124,0
10.2,0.9938,15,2.2,0.57,77,0
9.5,0.993,23,0.9,0.4,170,1
10.5,0.994,12,9.7,0.245,68,0
11.2,0.9918,35,1.4,0.18,111,1
9.2,0.9958,38,8.3,0.16,126,0
9.7,0.9944,31,5.3,0.13,122,1
11.1,0.9912,35,1.4,0.25,105,1
9.4,0.9961,55,9.2,0.26,152,0
11,0.9939,45,7,0.27,164,0
9.4,0.9961,55,9.2,0.26,152,0
9.4,0.9989,60,17.5,0.28,167,0
11,0.9938,43,7,0.23,161,0
11,0.9939,45,7,0.27,164,0
9.1,0.9971,33,9.5,0.685,172,1
11.1,0.9912,35,1.4,0.25,105,1
9.1,0.9936,33,0.8,0.19,144,1
10.4,0.9929,31,1.8,0.495,140,1
8.7,0.9998,39,17.8,0.24,145,0
9.7,0.9938,41,2.4,0.17,200,1
9.1,0.9969,66,10.3,0.25,272,1
9.7,0.9938,41,2.4,0.17,200,1
8.7,0.9998,39,17.8,0.24,145,0
8.9,0.9972,26,9.7,0.64,142,0
9.6,0.9976,38,7.8,0.28,194,1
9.5,0.9976,49,7.8,0.27,208,1
9,0.9979,55,14.3,0.23,194,1
9,0.9979,55,14.3,0.23,194,1
9,0.9979,55,14.3,0.23,194,1
9,0.9979,55,14.3,0.23,194,1
9.6,0.9972,54,13.2,0.52,221,1
11.1,0.9918,40,1.4,0.26,120,1
9.6,0.9982,28,15.55,0.25,159,1
8.7,0.9985,49,13.7,0.32,197,0
10.4,0.9944,23,7.8,0.31,90,0
11.4,0.9903,23,2.4,0.21,100,1
9.7,0.9934,64.5,2.7,0.24,218.5,1
8.7,0.9975,40,11.2,0.4,142,0
11.3,0.9923,20,2,0.18,249.5,1
12.6,0.99,26,2.1,0.21,139,1
10.9,0.9905,12,1.4,0.2,77,1
10.9,0.9905,12,1.4,0.19,76,1
10,0.996,18,10.4,0.41,119,0
10,0.9964,40,4.6,0.21,199,0
9.8,0.998,41,16.2,0.26,197,0
8.7,0.9975,40,11.2,0.4,142,0
11.7,0.9913,5,3.5,0.24,109,0
9.3,0.9932,37,1.5,0.24,158,1
9.6,0.9935,45,1.1,0.26,147,1
11,0.9927,8,5.7,0.35,97,1
11,0.9927,8,5.7,0.35,97,1
11.8,0.9912,23,1.8,0.23,118,1
11.4,0.9904,3,0.9,0.36,75,0
10.2,0.9939,36,5.4,0.115,108,1
8.9,0.9996,36,19.45,0.29,156,0
10.2,0.9944,15,8.2,0.28,95,0
9.6,0.9977,66,13.6,0.29,231,1
10.6,0.9912,22,1.2,0.24,167,1
8.9,0.9996,36,19.45,0.29,156,0
9.2,0.9965,32,8.3,0.32,180,1
9.7,0.9944,34,6.9,0.58,149,0
9.7,0.9945,34,7.1,0.585,145,1
9.7,0.9944,36,7,0.59,147,1
9.2,0.9965,32,8.3,0.32,180,1
9.7,0.9944,33,7,0.6,147,0
9.3,0.9972,44,13.1,0.25,148,0
9,0.9949,30,5.1,0.58,123,0
9.5,0.9966,59,10.7,0.29,234,0
9.8,0.9954,51,8.9,0.19,169,1
9.8,0.9954,50,9.1,0.2,166,1
10.6,0.9915,9,1.1,0.26,60,0
10.6,0.9919,14,1.2,0.32,67,0
12.4,0.9916,17,4.7,0.3,105,1
12.6,0.99,22,2.8,0.24,112,1
12.3,0.9909,36,5,0.31,114,1
10.5,0.9938,46,5.1,0.44,201,0
9.3,0.9982,51,15.6,0.34,196,0
8.8,0.9988,46,15.4,0.35,198,0
8.8,0.9961,47,7.2,0.32,180,0
9.7,0.9978,51,15.7,0.28,190,1
9,0.9979,49,14.2,0.23,192,1
9,0.9979,49,14.2,0.23,192,1
9,0.9979,49,14.2,0.23,192,1
9,0.9979,49,14.2,0.23,192,1
10.5,0.9945,53,5.8,0.15,155,1
9.1,1,53,19.8,0.28,195,0
9.8,0.9957,26,7.3,0.28,157,1
8.5,0.9968,34,1.6,0.59,182,0
9.4,0.9934,34,1.2,0.33,175,1
9.4,0.9976,33,10.6,0.39,169,0
11.2,0.9932,82,3.8,0.19,187,1
10,0.997,65,11.3,0.17,146,1
10.3,0.9923,27,2.1,0.17,122,1
10.8,0.9914,36,1.6,0.41,87,1
10.5,0.992,12,0.9,0.2,74,1
10.8,0.9914,36,1.6,0.41,87,1
11.1,0.9914,42,1.3,0.29,168,1
9.9,0.9949,41,6.8,0.41,163,1
9.9,0.9949,41,6.8,0.41,163,1
9.9,0.995,40,6.7,0.43,163,0
9.9,0.995,41,6.7,0.4,166,1
10.4,0.9927,30,4.9,0.33,134,1
10.4,0.9928,36,4.8,0.31,148,1
11.5,0.9917,16,2.1,0.36,100,1
12.5,0.9918,35,8.3,0.55,164,1
10,0.9954,37,3.7,0.25,149,1
10,0.9941,51,6.7,0.36,166,1
10,0.9941,50,6.6,0.34,167,0
9.1,0.9934,42,1.1,0.28,127,1
10.6,0.9927,34,4.7,0.25,134,1
10.5,0.9938,36,7.7,0.24,135,0
11.5,0.9933,19,7.85,0.3,133,1
10.1,0.9934,10,3.3,0.125,69,1
10.3,0.9927,15,1.1,0.1,65,1
10.5,0.9938,36,7.7,0.24,135,0
10.6,0.9927,34,4.7,0.25,134,1
10.4,0.9946,35,9.3,0.28,137,1
11.4,0.993,11,2,0.41,207,0
10.5,0.9946,131,5.8,0.27,313,0
10,0.9976,38,15.15,0.26,216,1
10,0.9944,37,6.3,0.34,143,1
9.6,0.9978,55,15.4,0.28,195,1
10.4,0.992,33,1.3,0.21,85,0
12.5,0.9912,34,4.8,0.32,101,1
10.6,0.9927,37,4.6,0.24,135,0
11.8,0.9906,16,1.8,0.23,91,1
9.8,0.9954,30,9.9,0.28,133,0
10.8,0.9923,12,5.7,0.26,80,0
11.8,0.9906,16,1.8,0.23,91,1
11.2,0.991,15,1.5,0.23,105,1
9.3,0.9972,55,12.3,0.27,170,1
10.4,0.9945,12,1.3,0.26,139,0
10.2,0.9934,49,1.5,0.18,141,1
9,0.9964,27,7.8,0.2,153,1
10,0.9948,17,1.5,0.24,129,1
9.1,0.9962,30,9.7,0.26,140,1
10,0.9931,46,3,0.31,144,0
10,0.993,47,3,0.29,145,1
9.6,0.9942,33,4.6,0.145,131,1
11.2,0.9906,20,1.3,0.34,68,1
8.8,0.9995,75,15.6,0.19,155,1
10,0.998,38,13.6,0.18,118,1
10,0.997,56,11.2,0.17,137,0
11.4,0.9914,47,2.1,0.12,146,1
11.9,0.992,32,6.85,0.33,138,1
9.6,0.9924,27,2.5,0.335,128,1
11.9,0.992,32,6.85,0.33,138,1
9.6,0.9937,38.5,4.4,0.4,245,1
9,0.9978,48,14.3,0.22,191,1
9,0.9978,48,14.3,0.22,191,1
9.5,0.9927,24,1.1,0.36,169,1
10.4,0.994,19,1.4,0.2,152,1
10.6,0.9935,43,4.7,0.24,161,1
10.2,0.9968,54,14.9,0.24,162,1
8.9,0.9941,24,1.2,0.365,84,0
9.7,0.9942,40,5.3,0.15,127,1
9,0.9978,48,14.3,0.22,191,1
11.4,0.9923,18,2.3,0.16,102,1
12.3,0.9912,29,3.5,0.26,113,1
10.8,0.9923,40,1.5,0.18,143,1
9.4,0.9927,39,1,0.33,148,1
10.6,0.9931,36,2.3,0.29,178,1
11.6,0.9941,26,12.5,0.39,72,0
9.4,0.9927,39,1,0.33,148,1
10.6,0.9931,36,2.3,0.29,178,1
10,0.9934,17,0.8,0.905,204,0
9.2,0.9936,30,2.4,0.27,149,1
12.5,0.9893,18,1.6,0.33,89,1
12.5,0.9893,18,1.6,0.33,89,1
10.4,0.9919,12,1.5,0.31,119,1
10,0.9924,21,1.4,0.2,98,1
10,0.9927,17,2.6,0.32,155,1
10.4,0.9919,12,1.5,0.31,119,1
10,0.9924,21,1.4,0.2,98,1
9,0.9975,48,12.5,0.28,179,1
9.2,0.9969,26,9.6,0.35,157,1
9.2,0.9936,30,2.4,0.27,149,1
11.3,0.991,20,3.2,0.36,125,1
12.5,0.9893,18,1.6,0.33,89,1
10.8,0.9906,24,1.5,0.17,115,1
10.1,0.9941,82.5,5.9,0.39,260,0
9.7,0.995,29,5.4,0.21,140,1
9.3,0.9983,60,14.9,0.3,181,1
9.3,0.9983,60,14.9,0.3,181,1
10.6,0.9916,13,1.1,0.36,66,0
10.2,0.9957,19,9.8,0.55,125,1
12.2,0.99,20,2,0.24,69,1
8.8,0.9976,62,11.8,0.37,163,0
10,0.992,87,1.3,0.27,168,0
11.4,0.9917,30,1.8,0.28,93,0
11.4,0.9917,35,1.5,0.2,107,1
9.4,0.9993,52,18.2,0.26,168,0
11.7,0.9908,32,2.9,0.19,83,1
11.4,0.9917,35,1.5,0.2,107,1
8.8,0.9976,62,11.8,0.37,163,0
9.2,0.9934,22,1.4,0.35,108,0
8.7,1,55,18.2,0.27,252,0
12.6,0.9918,33,6.3,0.22,170,1
10,0.992,87,1.3,0.27,168,0
12.8,0.9896,40,4,0.28,99,1
9.4,0.9932,13,1.2,0.49,125,0
10.3,0.992,26,1.2,0.14,116,1
11.4,0.9917,30,1.8,0.28,93,0
9,0.9999,42,18.95,0.25,155,1
9.6,0.998,38,12.7,0.28,140,1
10.5,0.9918,32,1.2,0.19,85,0
10.5,0.9918,32,1.2,0.19,85,0
9,0.9999,42,18.95,0.25,155,1
9.6,0.998,38,12.7,0.28,140,1
9.8,0.9927,27,1.2,0.21,99,1
9,0.9959,57,7.7,0.26,210,0
9.8,0.9927,27,1.2,0.21,99,1
10.5,0.9929,33,1.6,0.31,137,1
12.7,0.9898,41,2.7,0.22,136,1
10.4,0.9954,37,8.7,0.21,222,1
10.4,0.9954,37,8.6,0.21,221,1
10.4,0.9954,37,8.6,0.21,221,1
10.5,0.9954,47,8.3,0.23,162,1
10.4,0.9954,37,8.7,0.21,222,1
10.4,0.9954,37,8.6,0.21,221,1
9.4,0.9974,48,13.3,0.29,194,0
9.1,0.9936,20,1.2,0.21,89,0
9.3,0.9978,54,13.6,0.31,197,0
9.4,0.9974,48,13.3,0.29,194,0
9.8,0.9927,19,1.1,0.34,84,0
9.9,0.9934,73.5,2.3,0.155,214,1
9.2,0.9938,16,1.5,0.55,151,0
12.1,0.9922,31,7.1,0.23,104,1
12.2,0.992,24,6.2,0.2,97,1
9.8,0.9935,23,2.5,0.28,218.5,0
12.4,0.9906,49,1.4,0.16,186,1
9.9,0.9934,73.5,2.3,0.155,214,1
9.2,0.9934,23,1.2,0.35,108,0
11.6,0.9913,24,1.6,0.22,102,1
10.4,0.9938,25,6.6,0.38,137,1
12.9,0.9898,54,2.2,0.25,126,1
9.3,0.9975,54,12.2,0.52,245,1
11,0.9975,40,20.8,0.24,139,1
11.5,0.9937,16,11,0.32,66,0
12.4,0.9914,30,2.6,0.28,156,0
9.8,0.9982,24,14,0.41,113,1
9.8,0.9982,24,14,0.41,113,1
10.5,0.9929,34,1.6,0.28,127,1
9.1,0.9971,21,9.9,0.6,174,0
10.1,0.9921,34,1.2,0.2,128,0
10.6,0.9931,27,2.7,0.46,160,1
10.5,0.9924,32,1.6,0.27,113,1
10.5,0.9929,34,1.6,0.28,127,1
9.8,0.9982,24,14,0.41,113,1
12.9,0.9892,11,1.5,0.23,82,1
9.5,0.9956,26,8.6,0.21,111,0
9.8,0.9924,31,1,0.37,218.5,1
8.5,0.9971,83,9.1,0.43,249,0
9.5,0.9956,26,8.6,0.21,111,0
9.3,0.9982,40,15.2,0.25,171,0
9.5,0.9973,50,12.4,0.25,162,0
9.4,0.9932,15,2.2,0.32,68,1
8.7,0.9976,66,11,0.39,178,0
8.9,0.9962,34,10,0.21,126,0
9.4,0.9956,54,9,0.14,141,1
9.4,0.9932,15,2.2,0.32,68,1
8.7,0.9976,66,11,0.39,178,0
9.6,0.9992,59,18.15,0.29,182,0
9.3,0.9983,21,12.15,0.37,158,1
10,0.9937,34,3.4,0.38,200,0
12.5,0.99,19,2,0.24,86,1
9.6,0.9944,34,4.8,0.17,132,1
9.4,0.9938,30,4.5,0.16,102,1
9.5,0.9965,55,11,0.24,227,0
12.4,0.9893,42,1.1,0.28,105,1
10.5,0.9927,29,1.5,0.22,115,1
9.2,0.994,21,1.7,0.55,165,1
10.4,0.9928,67,1.7,0.22,164,1
9.2,0.9964,31,8.9,0.47,172,0
10.6,0.9917,45,1.3,0.36,104,1
9.5,0.9972,41,13.3,0.25,137,0
9.2,0.9964,31,8.9,0.47,172,0
9.6,0.9954,79,6.6,0.37,200,0
9.7,0.993,36,1.5,0.18,117,1
9.7,0.9928,43,1.5,0.16,117,1
10.7,0.9916,32,1.3,0.34,90,1
10.5,0.9936,53,1.6,0.29,180,1
8.9,0.9962,52,7.6,0.26,177,1
12.1,0.9899,8,1,0.28,70,1
12.7,0.9898,12,1.6,0.23,65,1
9.9,0.996,42,8.9,0.19,182,1
11.4,0.9907,28,1.8,0.19,158,1
10.7,0.994,27,4.7,0.2,103,1
12.5,0.9913,28,7,0.44,173,1
8.6,0.9976,70,10.8,0.4,189,0
12.5,0.9904,43,1.6,0.23,147,1
10,0.992,13,1,0.335,174,0
8.6,0.9976,70,10.8,0.4,189,0
9.5,0.999,54,16.7,0.28,200,1
9.6,0.9975,51,14.2,0.19,164,1
9.9,0.9937,8,2.25,0.3,210,1
9.9,0.9937,8,2.25,0.3,210,0
8.9,0.998,46,12.2,0.18,140,1
8.9,0.998,46,12.2,0.18,140,1
8.8,0.9944,7,3.3,0.51,135,0
10,0.9938,40,1.9,0.24,170,1
12,0.9907,55,3.5,0.62,152,1
10,0.9938,40,1.9,0.24,170,1
10,0.9921,62,1.3,0.27,138,1
12.1,0.9908,8,1.8,0.34,167,1
11,0.9931,31,5.2,0.26,141,1
11.2,0.9915,27,1.4,0.36,55,1
10.3,0.9952,34,9,0.28,115,1
10.4,0.9926,28,2.2,0.31,167,1
9.1,0.9934,47,1.6,0.18,154,0
10.4,0.992,49,1.7,0.15,154,1
10.8,0.9918,20,1.9,0.13,78,1
11.7,0.9942,7,12.6,0.34,41,0
9.8,0.9942,8,2.1,0.19,143,0
9.8,0.9942,8,2.1,0.19,143,0
11.4,0.9901,22,1.3,0.25,101,1
11.2,0.9898,22,1.7,0.36,96,1
11.4,0.9902,6,1,0.35,72,0
9.2,0.9934,24,3.3,0.32,140,1
12.5,0.9906,3,5,0.31,29,0
12.6,0.9898,32,1.8,0.28,116,1
12.2,0.9896,24,1.6,0.36,104,1
11.2,0.9922,19,4.5,0.19,112,1
9.7,0.9947,31,4.9,0.1,103,1
9.3,0.9945,64,4,0.18,150,0
9,0.9976,53,13.2,0.25,178,1
9,0.9976,53,13.2,0.25,178,1
9,0.9976,53,13.2,0.25,178,1
9.1,0.9987,54,15.3,0.345,171,0
9.1,0.9987,54,15.3,0.345,171,0
9,0.9976,53,13.2,0.25,178,1
10.4,0.992,22,1.5,0.24,61,0
9.5,0.9955,41,4.55,0.25,211,1
11.4,0.9953,10,9.9,0.31,175,0
8.7,0.9976,76,10.4,0.46,192,0
9.9,0.992,14,1.1,0.35,167,1
9.9,0.9952,29,8.7,0.24,148,1
9,0.9983,49,13.9,0.28,162,1
10,0.9933,41,1.4,0.16,149,1
9.7,0.9958,38,7.2,0.26,172,1
11.8,0.9922,10,1.9,0.22,87,1
10.2,0.9928,30,1.7,0.18,127,1
8.7,0.9976,76,10.4,0.46,192,0
9.6,0.9976,40,13.6,0.3,168,1
11.3,0.9916,31,1.2,0.25,93,1
12.1,0.9901,32,1.6,0.28,118,1
9.6,0.9976,40,13.6,0.3,168,1
12.1,0.9901,32,1.6,0.28,118,1
11.3,0.9916,31,1.2,0.25,93,1
9.4,0.9982,22,12.2,0.35,160,0
10.4,0.993,16,1.6,0.41,137,1
9.5,0.9969,53,12.1,0.21,165,0
12.3,0.991,51,4.2,0.34,144,1
9.9,0.9953,31,9.1,0.21,150,1
10.1,0.9924,39,1.6,0.37,128,0
9.2,0.9969,39,8.8,0.34,184,1
10.4,0.9928,16,1.4,0.3,135,1
9.1,0.9945,38,4.2,0.51,165,0
10,0.9967,28,10.3,0.22,99,1
11.5,0.9944,6,12.4,0.35,37,1
9.8,0.9928,59,2.2,0.26,153,0
9.8,0.9929,61,2.2,0.26,154,1
9.4,0.9948,44,5.2,0.28,179,1
8.7,0.9976,77,10.8,0.41,194,0
11.6,0.9912,26,2.7,0.28,107,1
8.8,0.9987,44,16.3,0.34,181,0
12.7,0.99,49,2.7,0.2,151,1
11.7,0.991,39,1.9,0.2,138,1
10.2,0.9933,47,1.8,0.22,185,1
10.2,0.9933,47,1.8,0.23,187,1
12.7,0.9899,48,2.8,0.22,153,1
11.6,0.9912,26,2.7,0.28,107,1
12.3,0.9912,42,6,0.38,134,1
8.7,0.9976,77,10.8,0.41,194,0
9.4,0.994,25,4.2,0.18,111,0
10.1,0.9947,44,6.4,0.3,168,1
9.7,0.9954,26,10.7,0.24,81,1
10.1,0.993,32,1.6,0.25,134,1
9.7,0.9954,26,10.7,0.24,81,1
8.9,0.9963,38,7.9,0.26,157,1
10.8,0.992,37,1.7,0.32,136,1
10.8,0.9926,42,2.1,0.28,121,1
9.5,0.995,25,5.8,0.23,136,1
9.1,0.9983,6,14.5,0.31,148,0
10.9,0.992,48,1.2,0.2,119,1
9.4,0.9968,28,10.1,0.41,152,0
10.8,0.9905,10,1.1,0.45,131,0
10.8,0.9904,9,1,0.475,131,0
10.5,0.9926,7,0.9,0.27,140,1
9.4,0.9968,28,10.1,0.41,152,0
10.8,0.9928,26,4.9,0.29,127,1
10.5,0.9949,31,11.4,0.27,115,1
11.5,0.9909,14,1.4,0.19,55,1
9.4,0.9937,36,1.4,0.3,160,1
10.8,0.9914,31,1.4,0.24,106,1
10.8,0.9905,10,1.1,0.45,131,0
10.8,0.9904,9,1,0.475,131,0
9.8,0.9924,34,1.5,0.26,134,1
9.8,0.9924,34,1.5,0.26,134,1
9.6,0.9965,38,7.5,0.25,158,0
9.6,0.9965,38,7.5,0.25,158,0
9.5,0.9993,48,17.75,0.28,161,0
10.7,0.9965,12,5.7,0.37,94,1
12.4,0.9908,29,3.2,0.36,119,1
11.1,0.992,9,4.3,0.24,95,1
8.8,0.9978,37,11,0.23,133,0
8.7,0.9978,38,10.9,0.21,133,0
8.7,0.9978,38,10.9,0.21,133,0
8.8,0.9978,37,11,0.23,133,0
11.7,0.9912,18,2.4,0.32,101,1
10.9,0.9928,52,1.9,0.26,195,1
10.8,0.9928,52,1.8,0.24,190,1
